Unnamed: 0;DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;MÊS;ANO
259;2004-07-11;2004-07-17;NORTE;PARA;ETANOL HIDRATADO;117;R$/l;1.903;0.206;1.47;2.32;0.516;0.108;1.387;0.203;0.7713;1.8066;0.146;7;2004
260;2004-07-11;2004-07-17;NORTE;RONDONIA;ETANOL HIDRATADO;99;R$/l;1.537;0.136;1.18;1.99;0.517;0.088;1.02;0.094;0.7002;1.2736;0.092;7;2004
261;2004-07-11;2004-07-17;NORTE;RORAIMA;ETANOL HIDRATADO;14;R$/l;1.676;0.042;1.6;1.7;0.499;0.025;1.177;0.066;0.9909;1.2797;0.056;7;2004
262;2004-07-11;2004-07-17;NORTE;TOCANTINS;ETANOL HIDRATADO;67;R$/l;1.281;0.07;1.149;1.51;0.515;0.055;0.766;0.088;0.59914;1.05;0.115;7;2004
263;2004-07-11;2004-07-17;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;311;R$/l;1.204;0.108;0.9;1.47;0.246;0.09;0.958;0.096;0.7246;1.2293;0.1;7;2004
264;2004-07-11;2004-07-17;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1245;R$/l;1.268;0.104;0.99;1.68;0.333;0.0819999999999999;0.935;0.12;0.4219;1.42;0.128;7;2004
265;2004-07-11;2004-07-17;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;963;R$/l;1.207;0.163;0.84;1.559;0.213;0.135;0.994;0.184;0.3828;1.3716;0.185;7;2004
266;2004-07-11;2004-07-17;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4079;R$/l;0.907;0.073;0.699;1.299;0.191;0.08;0.716;0.054;0.4757;0.9689;0.075;7;2004
267;2004-07-11;2004-07-17;SUL;PARANA;ETANOL HIDRATADO;768;R$/l;1.055;0.089;0.83;1.6;0.288;0.084;0.767;0.126;0.435;0.996;0.164;7;2004
268;2004-07-11;2004-07-17;SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;683;R$/l;1.371;0.128;1.09;1.71;0.339;0.093;1.032;0.107;0.6443;1.34;0.104;7;2004
269;2004-07-11;2004-07-17;SUL;SANTA CATARINA;ETANOL HIDRATADO;514;R$/l;1.319;0.066;1.15;1.538;0.353;0.05;0.966;0.093;0.6962;1.212;0.096;7;2004
270;2004-07-18;2004-07-24;CENTRO OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;130;R$/l;1.216;0.133;0.97;1.48;0.299;0.109;0.917;0.106;0.4631;1.0655;0.116;7;2004
271;2004-07-18;2004-07-24;CENTRO OESTE;GOIAS;ETANOL HIDRATADO;389;R$/l;1.222;0.085;0.96;1.52;0.39;0.07;0.832;0.081;0.6588;1.0999;0.097;7;2004
272;2004-07-18;2004-07-24;CENTRO OESTE;MATO GROSSO;ETANOL HIDRATADO;199;R$/l;1.46;0.1;1.23;1.76;0.436;0.068;1.024;0.111;0.6863;1.3098;0.108;7;2004
273;2004-07-18;2004-07-24;CENTRO OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;163;R$/l;1.378;0.069;1.17;1.5;0.415;0.05;0.963;0.105;0.6321;1.257;0.109;7;2004
274;2004-07-18;2004-07-24;NORDESTE;ALAGOAS;ETANOL HIDRATADO;102;R$/l;1.319;0.04;1.24;1.45;0.211;0.03;1.108;0.066;0.9181;1.23;0.06;7;2004
275;2004-07-18;2004-07-24;NORDESTE;BAHIA;ETANOL HIDRATADO;408;R$/l;1.483;0.126;1.199;2.05;0.45;0.085;1.033;0.18;0.5686;1.4355;0.174;7;2004
276;2004-07-18;2004-07-24;NORDESTE;CEARA;ETANOL HIDRATADO;273;R$/l;1.513;0.155;1.18;1.8;0.292;0.102;1.221;0.08;0.8556;1.4292;0.066;7;2004
277;2004-07-18;2004-07-24;NORDESTE;MARANHAO;ETANOL HIDRATADO;99;R$/l;1.643;0.13;1.36;2.0;0.422;0.079;1.221;0.165;0.9614;1.8435;0.135;7;2004
278;2004-07-18;2004-07-24;NORDESTE;PARAIBA;ETANOL HIDRATADO;131;R$/l;1.402;0.074;1.23;1.699;0.303;0.053;1.099;0.089;0.9108;1.2618;0.081;7;2004
279;2004-07-18;2004-07-24;NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;408;R$/l;1.325;0.099;1.129;1.7;0.232;0.075;1.093;0.093;0.747;1.4598;0.085;7;2004
280;2004-07-18;2004-07-24;NORDESTE;PIAUI;ETANOL HIDRATADO;94;R$/l;1.652;0.106;1.45;1.78;0.45;0.064;1.202;0.115;0.9758;1.3758;0.096;7;2004
281;2004-07-18;2004-07-24;NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;122;R$/l;1.399;0.076;1.2;1.59;0.309;0.054;1.09;0.121;0.7892;1.335;0.111;7;2004
282;2004-07-18;2004-07-24;NORDESTE;SERGIPE;ETANOL HIDRATADO;58;R$/l;1.381;0.05;1.279;1.514;0.253;0.036;1.128;0.083;0.9042;1.2357;0.074;7;2004
283;2004-07-18;2004-07-24;NORTE;ACRE;ETANOL HIDRATADO;33;R$/l;1.915;0.13;1.6;2.2;0.655;0.068;1.26;0.169;0.801;1.48;0.134;7;2004
284;2004-07-18;2004-07-24;NORTE;AMAPA;ETANOL HIDRATADO;15;R$/l;1.936;0.165;1.7;2.15;0.427;0.085;1.509;0.182;1.2249;1.8465;0.121;7;2004
285;2004-07-18;2004-07-24;NORTE;AMAZONAS;ETANOL HIDRATADO;56;R$/l;1.551;0.100999999999999;1.29;1.7;0.482;0.065;1.069;0.062;0.9823;1.3154;0.058;7;2004
286;2004-07-18;2004-07-24;NORTE;PARA;ETANOL HIDRATADO;105;R$/l;1.903;0.201999999999999;1.47;2.32;0.52;0.106;1.383;0.21;0.8888;1.8066;0.152;7;2004
287;2004-07-18;2004-07-24;NORTE;RONDONIA;ETANOL HIDRATADO;95;R$/l;1.549;0.131;1.2;1.99;0.503;0.085;1.046;0.091;0.8177;1.3243;0.087;7;2004
288;2004-07-18;2004-07-24;NORTE;RORAIMA;ETANOL HIDRATADO;14;R$/l;1.676;0.042;1.6;1.7;0.493;0.025;1.183;0.064;0.9909;1.2797;0.054;7;2004
